outlet,Date,Attribute,Value,Day Name,Brand,Month,Channel
Naivas West Side,25/01/2025,Melano Cc Moistruriser,3,Saturday,Melano ,January,Naivas 
Naivas West Side,25/01/2025,Melano Cc Sheet Mask,2,Saturday,Melano ,January,Naivas 
Naivas West Side,25/01/2025,Melano Cc Spot Essence,1,Saturday,Melano ,January,Naivas 
Naivas West Side,25/01/2025,Acnes Creamy Wash 50G,2,Saturday,Acnes ,January,Naivas 
Naivas West Side,25/01/2025,Acnes Mentholatum Bar Soap,1,Saturday,Acnes ,January,Naivas 
Naivas West Side,25/01/2025,Acnes Moisturiser,2,Saturday,Acnes ,January,Naivas 
Naivas West Side,25/01/2025,Acnes Sealing Gel,1,Saturday,Acnes ,January,Naivas 
Quickmart Kiambu,25/01/2025,Melano Cc Moistruriser,1,Saturday,Melano ,January,Quickmart 
Quickmart Kiambu,25/01/2025,Melano Cc Sheet Mask,5,Saturday,Melano ,January,Quickmart 
Quickmart Kiambu,25/01/2025,Acnes Creamy Was 100G,2,Saturday,Acnes ,January,Quickmart 
Quickmart Kiambu,25/01/2025,Acnes Moisturiser,5,Saturday,Acnes ,January,Quickmart 
Quickmart Kiambu,25/01/2025,Acnes Scar Care,1,Saturday,Acnes ,January,Quickmart 
Quickmart Kiambu,25/01/2025,Acnes Multi Vimani Cleanser,3,Saturday,Acnes ,January,Quickmart 
Carrefour Raptah Road,25/01/2025,Acnes Creamy Was 100G,2,Saturday,Acnes ,January,Carrefour 
Carrefour Raptah Road,25/01/2025,Acnes Mentholatum Bar Soap,1,Saturday,Acnes ,January,Carrefour 
Naivas Kingara,25/01/2025,Melano Cc Moistruriser,1,Saturday,Melano ,January,Naivas 
Naivas Kingara,25/01/2025,Melano Cc Sheet Mask,5,Saturday,Melano ,January,Naivas 
Naivas Imara Daima,25/01/2025,Melano Cc Moistruriser,3,Saturday,Melano ,January,Naivas 
Naivas Imara Daima,25/01/2025,Melano Cc Spot Essence,1,Saturday,Melano ,January,Naivas 
Naivas Imara Daima,25/01/2025,Acnes Mentholatum Bar Soap,1,Saturday,Acnes ,January,Naivas 
Naivas Imara Daima,25/01/2025,Acnes Moisturiser,1,Saturday,Acnes ,January,Naivas 
Naivas Capital,25/01/2025,Melano Cc Sheet Mask,4,Saturday,Melano ,January,Naivas 
Naivas Capital,25/01/2025,Melano Cc Spot Essence,2,Saturday,Melano ,January,Naivas 
Naivas Gateway,25/01/2025,Melano Cc Sheet Mask,3,Saturday,Melano ,January,Naivas 
Naivas Gateway,25/01/2025,Acnes Creamy Was 100G,1,Saturday,Acnes ,January,Naivas 
Naivas Gateway,25/01/2025,Acnes Moisturiser,2,Saturday,Acnes ,January,Naivas 
Naivas Greenspan,25/01/2025,Melano Cc Sheet Mask,3,Saturday,Melano ,January,Naivas 
Naivas Greenspan,25/01/2025,Melano Cc Spot Essence,2,Saturday,Melano ,January,Naivas 
Naivas Greenspan,25/01/2025,Acnes Moisturiser,1,Saturday,Acnes ,January,Naivas 
Naivas Buruburu,25/01/2025,Melano Cc Sheet Mask,3,Saturday,Melano ,January,Naivas 
Naivas Buruburu,25/01/2025,Acnes Moisturiser,1,Saturday,Acnes ,January,Naivas 
Naivas Juja City,25/01/2025,Melano Cc Moistruriser,1,Saturday,Melano ,January,Naivas 
Naivas Juja City,25/01/2025,Melano Cc Sheet Mask,2,Saturday,Melano ,January,Naivas 
Naivas Juja City,25/01/2025,Melano Cc Spot Essence,1,Saturday,Melano ,January,Naivas 
Naivas Juja City,25/01/2025,Acnes Creamy Was 100G,3,Saturday,Acnes ,January,Naivas 
Naivas Juja City,25/01/2025,Acnes Moisturiser,1,Saturday,Acnes ,January,Naivas 
Naivas Nyali,25/01/2025,Melano Cc Sheet Mask,3,Saturday,Melano ,January,Naivas 
Naivas Likoni,25/01/2025,Melano Cc Moistruriser,1,Saturday,Melano ,January,Naivas 
Naivas Likoni,25/01/2025,Melano Cc Spot Essence,2,Saturday,Melano ,January,Naivas 
Naivas West Side,25/01/2025,Melano Cc Moistruriser,3,Saturday,Melano ,January,Naivas 
Naivas West Side,25/01/2025,Melano Cc Sheet Mask,3,Saturday,Melano ,January,Naivas 
Naivas West Side,25/01/2025,Acnes Moisturiser,2,Saturday,Acnes ,January,Naivas 
Quickmart Kiambu,24/01/2025,Melano Cc Moistruriser,1,Friday,Melano ,January,Quickmart 
Quickmart Kiambu,24/01/2025,Melano Cc Sheet Mask,5,Friday,Melano ,January,Quickmart 
Quickmart Kiambu,24/01/2025,Melano Cc Spot Essence,1,Friday,Melano ,January,Quickmart 
Quickmart Kiambu,24/01/2025,Acnes Moisturiser,1,Friday,Acnes ,January,Quickmart 
Carrefour Raptah Road,24/01/2025,Acnes Creamy Was 100G,1,Friday,Acnes ,January,Carrefour 
Carrefour Raptah Road,24/01/2025,Acnes Mentholatum Bar Soap,1,Friday,Acnes ,January,Carrefour 
Carrefour Raptah Road,24/01/2025,Acnes Moisturiser,2,Friday,Acnes ,January,Carrefour 
Naivas Gateway,24/01/2025,Melano Cc Moistruriser,1,Friday,Melano ,January,Naivas 
Naivas Gateway,24/01/2025,Melano Cc Sheet Mask,2,Friday,Melano ,January,Naivas 
Naivas Gateway,24/01/2025,Melano Cc Spot Essence,1,Friday,Melano ,January,Naivas 
Naivas Gateway,24/01/2025,Acnes Multi Vimani Cleanser,2,Friday,Acnes ,January,Naivas 
Naivas Gateway,24/01/2025,Acnes Care Kit,1,Friday,Acnes ,January,Naivas 
Naivas Imara Daima,24/01/2025,Melano Cc Sheet Mask,6,Friday,Melano ,January,Naivas 
Naivas Imara Daima,24/01/2025,Acnes Creamy Wash 50G,1,Friday,Acnes ,January,Naivas 
Naivas Imara Daima,24/01/2025,Acnes Moisturiser,3,Friday,Acnes ,January,Naivas 
Naivas Imara Daima,24/01/2025,Acnes Sealing Gel,1,Friday,Acnes ,January,Naivas 
Quickmart Kiambu,23/01/2025,Melano Cc Sheet Mask,3,Thursday,Melano ,January,Quickmart 
Quickmart Kiambu,23/01/2025,Melano Cc Spot Essence,2,Thursday,Melano ,January,Quickmart 
Quickmart Kiambu,23/01/2025,Acnes Moisturiser,2,Thursday,Acnes ,January,Quickmart 
Goodlife Valley Arcade,23/01/2025,Melano Cc Moistruriser,3,Thursday,Melano ,January,Goodlife 
Goodlife Valley Arcade,23/01/2025,Melano Cc Sheet Mask,1,Thursday,Melano ,January,Goodlife 
Goodlife Valley Arcade,23/01/2025,Melano Cc Spot Essence,8,Thursday,Melano ,January,Goodlife 
Beauty Essence,22/01/2025,Melano Cc Sheet Mask,1,Wednesday,Melano ,January,Beauty 
Beauty Essence,22/01/2025,Acnes Mentholatum Bar Soap,1,Wednesday,Acnes ,January,Beauty 
Goodlife Valley Arcade,22/01/2025,Melano Cc Moistruriser,2,Wednesday,Melano ,January,Goodlife 
Goodlife Valley Arcade,22/01/2025,Melano Cc Sheet Mask,1,Wednesday,Melano ,January,Goodlife 
Goodlife Valley Arcade,22/01/2025,Melano Cc Spot Essence,2,Wednesday,Melano ,January,Goodlife 
Goodlife Valley Arcade,22/01/2025,Acnes Creamy Wash 50G,1,Wednesday,Acnes ,January,Goodlife 
Beauty Essence,21/01/2025,Melano Cc Sheet Mask,2,Tuesday,Melano ,January,Beauty 
Carrefour Mega,26/01/2025,Melano Cc Moistruriser,1,Sunday,Melano ,January,Carrefour 
Carrefour Mega,26/01/2025,Melano Cc Sheet Mask,2,Sunday,Melano ,January,Carrefour 
Carrefour Mega,26/01/2025,Melano Cc Spot Essence,1,Sunday,Melano ,January,Carrefour 
Carrefour Mega,26/01/2025,Acnes Creamy Was 100G,4,Sunday,Acnes ,January,Carrefour 
Carrefour Mega,26/01/2025,Acnes Creamy Wash 50G,2,Sunday,Acnes ,January,Carrefour 
Carrefour Two Rivers,26/01/2025,Melano Cc Moistruriser,2,Sunday,Melano ,January,Carrefour 
Carrefour Two Rivers,26/01/2025,Acnes Creamy Was 100G,2,Sunday,Acnes ,January,Carrefour 
Carrefour Two Rivers,26/01/2025,Acnes Creamy Wash 50G,1,Sunday,Acnes ,January,Carrefour 
Carrefour Two Rivers,26/01/2025,Acnes Moisturiser,1,Sunday,Acnes ,January,Carrefour 
Carrefour Two Rivers,26/01/2025,Acnes Scar Care,1,Sunday,Acnes ,January,Carrefour 
Carrefour Junction,26/01/2025,Melano Cc Spot Essence,4,Sunday,Melano ,January,Carrefour 
Carrefour Junction,26/01/2025,Acnes Creamy Was 100G,2,Sunday,Acnes ,January,Carrefour 
Carrefour Junction,26/01/2025,Acnes Creamy Wash 50G,2,Sunday,Acnes ,January,Carrefour 
Carrefour Junction,26/01/2025,Acnes Mentholatum Bar Soap,1,Sunday,Acnes ,January,Carrefour 
Carrefour Junction,26/01/2025,Acnes Soothing Toner,1,Sunday,Acnes ,January,Carrefour 
Carrefour Hub,26/01/2025,Melano Cc Sheet Mask,2,Sunday,Melano ,January,Carrefour 
Carrefour Hub,26/01/2025,Acnes Creamy Was 100G,4,Sunday,Acnes ,January,Carrefour 
Carrefour Hub,26/01/2025,Acnes Creamy Wash 50G,1,Sunday,Acnes ,January,Carrefour 
Carrefour Hub,26/01/2025,Acnes Scar Care,2,Sunday,Acnes ,January,Carrefour 
Carrefour Hub,26/01/2025,Acnes Soothing Toner,2,Sunday,Acnes ,January,Carrefour 
Carrefour Runda Mall,26/01/2025,Melano Cc Sheet Mask,1,Sunday,Melano ,January,Carrefour 
Carrefour Runda Mall,26/01/2025,Melano Cc Spot Essence,3,Sunday,Melano ,January,Carrefour 
Carrefour Runda Mall,26/01/2025,Acnes Creamy Was 100G,2,Sunday,Acnes ,January,Carrefour 
Carrefour Sarit,25/01/2025,Melano Cc Sheet Mask,2,Saturday,Melano ,January,Carrefour 
Carrefour Sarit,25/01/2025,Melano Cc Spot Essence,1,Saturday,Melano ,January,Carrefour 
Carrefour Sarit,25/01/2025,Acnes Creamy Was 100G,1,Saturday,Acnes ,January,Carrefour 
Carrefour Sarit,25/01/2025,Acnes Moisturiser,1,Saturday,Acnes ,January,Carrefour 
Carrefour Sarit,25/01/2025,Acnes Scar Care,1,Saturday,Acnes ,January,Carrefour 
Carrefour Sarit,25/01/2025,Acnes Soothing Toner,1,Saturday,Acnes ,January,Carrefour 
Carrefour Trm,25/01/2025,Melano Cc Sheet Mask,2,Saturday,Melano ,January,Carrefour 
Carrefour Trm,25/01/2025,Melano Cc Spot Essence,2,Saturday,Melano ,January,Carrefour 
Carrefour Trm,25/01/2025,Acnes Creamy Was 100G,1,Saturday,Acnes ,January,Carrefour 
Carrefour Trm,25/01/2025,Acnes Moisturiser,1,Saturday,Acnes ,January,Carrefour 
Carrefour Trm,25/01/2025,Acnes Soothing Toner,1,Saturday,Acnes ,January,Carrefour 
Carrefour Junction,25/01/2025,Melano Cc Spot Essence,1,Saturday,Melano ,January,Carrefour 
Carrefour Junction,25/01/2025,Acnes Soothing Toner,1,Saturday,Acnes ,January,Carrefour 
Carrefour Mega,25/01/2025,Melano Cc Sheet Mask,1,Saturday,Melano ,January,Carrefour 
Carrefour Mega,25/01/2025,Melano Cc Spot Essence,5,Saturday,Melano ,January,Carrefour 
Carrefour Mega,25/01/2025,Acnes Creamy Was 100G,3,Saturday,Acnes ,January,Carrefour 
Carrefour Mega,25/01/2025,Acnes Scar Care,1,Saturday,Acnes ,January,Carrefour 
Carrefour Two Rivers,25/01/2025,Melano Cc Moistruriser,1,Saturday,Melano ,January,Carrefour 
Carrefour Two Rivers,25/01/2025,Melano Cc Sheet Mask,3,Saturday,Melano ,January,Carrefour 
Carrefour Two Rivers,25/01/2025,Melano Cc Spot Essence,1,Saturday,Melano ,January,Carrefour 
Carrefour Two Rivers,25/01/2025,Acnes Creamy Was 100G,1,Saturday,Acnes ,January,Carrefour 
Carrefour Sarit,24/01/2025,Melano Cc Moistruriser,3,Friday,Melano ,January,Carrefour 
Carrefour Sarit,24/01/2025,Melano Cc Sheet Mask,1,Friday,Melano ,January,Carrefour 
Carrefour Sarit,24/01/2025,Acnes Creamy Was 100G,2,Friday,Acnes ,January,Carrefour 
Carrefour Trm,24/01/2025,Melano Cc Spot Essence,2,Friday,Melano ,January,Carrefour 
Carrefour Trm,24/01/2025,Acnes Mentholatum Bar Soap,1,Friday,Acnes ,January,Carrefour 
Carrefour Trm,24/01/2025,Acnes Soothing Toner,1,Friday,Acnes ,January,Carrefour 
Carrefour Mega,02/02/2025,Acnes Creamy Wash 50G,2,Sunday,Acnes ,February,Carrefour 
Carrefour Mega,02/02/2025,Acnes Mentholatum Bar Soap,3,Sunday,Acnes ,February,Carrefour 
Carrefour Mega,02/02/2025,Acnes Scar Care,3,Sunday,Acnes ,February,Carrefour 
Carrefour Mega,02/02/2025,Acnes C10,1,Sunday,Acnes ,February,Carrefour 
Carrefour Mega,02/02/2025,Acnes Sealing Gel,2,Sunday,Acnes ,February,Carrefour 
Carrefour Two Rivers,02/02/2025,Acnes Creamy Was 100G,3,Sunday,Acnes ,February,Carrefour 
Carrefour Two Rivers,02/02/2025,Acnes Creamy Wash 50G,3,Sunday,Acnes ,February,Carrefour 
Carrefour Two Rivers,02/02/2025,Acnes Mentholatum Bar Soap,4,Sunday,Acnes ,February,Carrefour 
Carrefour Two Rivers,02/02/2025,Acnes Moisturiser,4,Sunday,Acnes ,February,Carrefour 
Carrefour Junction,02/02/2025,Acnes Creamy Was 100G,2,Sunday,Acnes ,February,Carrefour 
Carrefour Junction,02/02/2025,Acnes Creamy Wash 50G,3,Sunday,Acnes ,February,Carrefour 
Carrefour Junction,02/02/2025,Acnes Mentholatum Bar Soap,1,Sunday,Acnes ,February,Carrefour 
Carrefour Junction,02/02/2025,Acnes Moisturiser,2,Sunday,Acnes ,February,Carrefour 
Carrefour Junction,02/02/2025,Acnes C10,2,Sunday,Acnes ,February,Carrefour 
Carrefour Hub,02/02/2025,Acnes Creamy Was 100G,2,Sunday,Acnes ,February,Carrefour 
Carrefour Hub,02/02/2025,Acnes Creamy Wash 50G,2,Sunday,Acnes ,February,Carrefour 
Carrefour Hub,02/02/2025,Acnes Mentholatum Bar Soap,3,Sunday,Acnes ,February,Carrefour 
Carrefour Hub,02/02/2025,Acnes Moisturiser,3,Sunday,Acnes ,February,Carrefour 
Carrefour Hub,02/02/2025,Acnes Scar Care,1,Sunday,Acnes ,February,Carrefour 
Carrefour Hub,02/02/2025,Acnes Multi Vimani Cleanser,2,Sunday,Acnes ,February,Carrefour 
Carrefour Hub,02/02/2025,Acnes Sealing Gel,2,Sunday,Acnes ,February,Carrefour 
Carrefour Runda Mall,02/02/2025,Acnes Creamy Was 100G,2,Sunday,Acnes ,February,Carrefour 
Carrefour Runda Mall,02/02/2025,Acnes Moisturiser,1,Sunday,Acnes ,February,Carrefour 
Carrefour Sarit,02/02/2025,Acnes Creamy Was 100G,1,Sunday,Acnes ,February,Carrefour 
Carrefour Sarit,02/02/2025,Acnes Creamy Wash 50G,2,Sunday,Acnes ,February,Carrefour 
Carrefour Sarit,02/02/2025,Acnes Mentholatum Bar Soap,4,Sunday,Acnes ,February,Carrefour 
Carrefour Sarit,02/02/2025,Acnes Moisturiser,2,Sunday,Acnes ,February,Carrefour 
Carrefour Sarit,02/02/2025,Acnes Scar Care,1,Sunday,Acnes ,February,Carrefour 
Carrefour Sarit,02/02/2025,Acnes Soothing Toner,1,Sunday,Acnes ,February,Carrefour 
Carrefour Sarit,02/02/2025,Acnes Multi Vimani Cleanser,1,Sunday,Acnes ,February,Carrefour 
Carrefour Sarit,02/02/2025,Acnes Sealing Gel,2,Sunday,Acnes ,February,Carrefour 
Carrefour Trm,02/02/2025,Acnes Creamy Wash 50G,3,Sunday,Acnes ,February,Carrefour 
Carrefour Trm,02/02/2025,Acnes Mentholatum Bar Soap,10,Sunday,Acnes ,February,Carrefour 
Carrefour Trm,02/02/2025,Acnes Moisturiser,5,Sunday,Acnes ,February,Carrefour 
Carrefour Trm,02/02/2025,Acnes Multi Vimani Cleanser,2,Sunday,Acnes ,February,Carrefour 
Carrefour Trm,02/02/2025,Acnes Sealing Gel,1,Sunday,Acnes ,February,Carrefour 
Carrefour Sarit,02/01/2025,Acnes Creamy Was 100G,1,Thursday,Acnes ,January,Carrefour 
Carrefour Sarit,02/01/2025,Acnes Creamy Wash 50G,3,Thursday,Acnes ,January,Carrefour 
Carrefour Sarit,02/01/2025,Acnes Mentholatum Bar Soap,1,Thursday,Acnes ,January,Carrefour 
Carrefour Sarit,02/01/2025,Acnes Moisturiser,2,Thursday,Acnes ,January,Carrefour 
Carrefour Sarit,02/01/2025,Acnes Soothing Toner,2,Thursday,Acnes ,January,Carrefour 
Carrefour Sarit,02/01/2025,Acnes Multi Vimani Cleanser,1,Thursday,Acnes ,January,Carrefour 
Carrefour Sarit,02/01/2025,Acnes Sealing Gel,3,Thursday,Acnes ,January,Carrefour 
Carrefour Trm,02/01/2025,Acnes Creamy Wash 50G,2,Thursday,Acnes ,January,Carrefour 
Carrefour Trm,02/01/2025,Acnes Mentholatum Bar Soap,3,Thursday,Acnes ,January,Carrefour 
Carrefour Trm,02/01/2025,Acnes Moisturiser,5,Thursday,Acnes ,January,Carrefour 
Carrefour Trm,02/01/2025,Acnes Soothing Toner,1,Thursday,Acnes ,January,Carrefour 
Carrefour Trm,02/01/2025,Acnes Sealing Gel,2,Thursday,Acnes ,January,Carrefour 
Carrefour Junction,02/01/2025,Acnes Creamy Was 100G,1,Thursday,Acnes ,January,Carrefour 
Carrefour Junction,02/01/2025,Acnes Creamy Wash 50G,1,Thursday,Acnes ,January,Carrefour 
Carrefour Junction,02/01/2025,Acnes Mentholatum Bar Soap,5,Thursday,Acnes ,January,Carrefour 
Carrefour Junction,02/01/2025,Acnes Moisturiser,2,Thursday,Acnes ,January,Carrefour 
Carrefour Junction,02/01/2025,Acnes Soothing Toner,2,Thursday,Acnes ,January,Carrefour 
Carrefour Mega,02/01/2025,Acnes Creamy Was 100G,1,Thursday,Acnes ,January,Carrefour 
Carrefour Mega,02/01/2025,Acnes Mentholatum Bar Soap,1,Thursday,Acnes ,January,Carrefour 
Carrefour Mega,02/01/2025,Acnes Scar Care,3,Thursday,Acnes ,January,Carrefour 
Carrefour Mega,02/01/2025,Acnes Sealing Gel,3,Thursday,Acnes ,January,Carrefour 
Carrefour Two Rivers,02/01/2025,Acnes Creamy Was 100G,1,Thursday,Acnes ,January,Carrefour 
Carrefour Two Rivers,02/01/2025,Acnes Creamy Wash 50G,3,Thursday,Acnes ,January,Carrefour 
Carrefour Two Rivers,02/01/2025,Acnes Mentholatum Bar Soap,4,Thursday,Acnes ,January,Carrefour 
Carrefour Two Rivers,02/01/2025,Acnes Moisturiser,2,Thursday,Acnes ,January,Carrefour 
Carrefour Two Rivers,02/01/2025,Acnes Scar Care,1,Thursday,Acnes ,January,Carrefour 
Carrefour Two Rivers,02/01/2025,Acnes Soothing Toner,1,Thursday,Acnes ,January,Carrefour 
Carrefour Runda Mall,02/01/2025,Acnes Creamy Wash 50G,1,Thursday,Acnes ,January,Carrefour 
Carrefour Runda Mall,02/01/2025,Acnes Mentholatum Bar Soap,2,Thursday,Acnes ,January,Carrefour 
Carrefour Hub,02/01/2025,Acnes Creamy Was 100G,3,Thursday,Acnes ,January,Carrefour 
Carrefour Hub,02/01/2025,Acnes Creamy Wash 50G,2,Thursday,Acnes ,January,Carrefour 
Carrefour Hub,02/01/2025,Acnes Mentholatum Bar Soap,5,Thursday,Acnes ,January,Carrefour 
Carrefour Hub,02/01/2025,Acnes Moisturiser,3,Thursday,Acnes ,January,Carrefour 
Carrefour Hub,02/01/2025,Acnes Scar Care,4,Thursday,Acnes ,January,Carrefour 
Carrefour Hub,02/01/2025,Acnes C10,1,Thursday,Acnes ,January,Carrefour 
Carrefour Hub,02/01/2025,Acnes Soothing Toner,1,Thursday,Acnes ,January,Carrefour 
Carrefour Hub,02/01/2025,Acnes Multi Vimani Cleanser,2,Thursday,Acnes ,January,Carrefour 
Carrefour Hub,02/01/2025,Acnes Sealing Gel,2,Thursday,Acnes ,January,Carrefour 
Carrefour Two Rivers,02/02/2025,Melano Cc Moistruriser,7,Sunday,Melano ,February,Carrefour 
Carrefour Two Rivers,02/02/2025,Melano Cc Sheet Mask,5,Sunday,Melano ,February,Carrefour 
Carrefour Two Rivers,02/02/2025,Melano Cc Spot Essence,4,Sunday,Melano ,February,Carrefour 
Naivas Imara Daima,02/02/2025,Melano Cc Moistruriser,3,Sunday,Melano ,February,Naivas 
Naivas Imara Daima,02/02/2025,Melano Cc Spot Essence,2,Sunday,Melano ,February,Naivas 
Naivas Imara Daima,02/02/2025,Acnes Mentholatum Bar Soap,2,Sunday,Acnes ,February,Naivas 
